x;value
-10.000;-0.839072
-9.999;-0.839615
-9.998;-0.840158
-9.997;-0.840700
-9.996;-0.841241
-9.995;-0.841781
-9.994;-0.842321
-9.993;-0.842859
-9.992;-0.843397
-9.991;-0.843934
-9.990;-0.844470
-9.989;-0.845005
-9.988;-0.845539
-9.987;-0.846073
-9.986;-0.846605
-9.985;-0.847137
-9.984;-0.847668
-9.983;-0.848198
-9.982;-0.848727
-9.981;-0.849256
-9.980;-0.849783
-9.979;-0.850310
-9.978;-0.850836
-9.977;-0.851361
-9.976;-0.851885
-9.975;-0.852408
-9.974;-0.852931
-9.973;-0.853452
-9.972;-0.853973
-9.971;-0.854493
-9.970;-0.855012
-9.969;-0.855530
-9.968;-0.856048
-9.967;-0.856564
-9.966;-0.857080
-9.965;-0.857595
-9.964;-0.858108
-9.963;-0.858621
-9.962;-0.859134
-9.961;-0.859645
-9.960;-0.860155
-9.959;-0.860665
-9.958;-0.861174
-9.957;-0.861682
-9.956;-0.862189
-9.955;-0.862695
-9.954;-0.863200
-9.953;-0.863705
-9.952;-0.864208
-9.951;-0.864711
-9.950;-0.865213
-9.949;-0.865714
-9.948;-0.866214
-9.947;-0.866713
-9.946;-0.867211
-9.945;-0.867709
-9.944;-0.868205
-9.943;-0.868701
-9.942;-0.869196
-9.941;-0.869690
-9.940;-0.870183
-9.939;-0.870676
-9.938;-0.871167
-9.937;-0.871658
-9.936;-0.872147
-9.935;-0.872636
-9.934;-0.873124
-9.933;-0.873611
-9.932;-0.874097
-9.931;-0.874583
-9.930;-0.875067
-9.929;-0.875551
-9.928;-0.876033
-9.927;-0.876515
-9.926;-0.876996
-9.925;-0.877476
-9.924;-0.877955
-9.923;-0.878434
-9.922;-0.878911
-9.921;-0.879388
-9.920;-0.879863
-9.919;-0.880338
-9.918;-0.880812
-9.917;-0.881285
-9.916;-0.881757
-9.915;-0.882228
-9.914;-0.882699
-9.913;-0.883168
-9.912;-0.883637
-9.911;-0.884105
-9.910;-0.884571
-9.909;-0.885037
-9.908;-0.885502
-9.907;-0.885967
-9.906;-0.886430
-9.905;-0.886892
-9.904;-0.887354
-9.903;-0.887815
-9.902;-0.888274
-9.901;-0.888733
-9.900;-0.889191
-9.899;-0.889648
-9.898;-0.890104
-9.897;-0.890560
-9.896;-0.891014
-9.895;-0.891468
-9.894;-0.891920
-9.893;-0.892372
-9.892;-0.892823
-9.891;-0.893273
-9.890;-0.893722
-9.889;-0.894170
-9.888;-0.894617
-9.887;-0.895064
-9.886;-0.895509
-9.885;-0.895954
-9.884;-0.896398
-9.883;-0.896840
-9.882;-0.897282
-9.881;-0.897723
-9.880;-0.898163
-9.879;-0.898603
-9.878;-0.899041
-9.877;-0.899478
-9.876;-0.899915
-9.875;-0.900351
-9.874;-0.900785
-9.873;-0.901219
-9.872;-0.901652
-9.871;-0.902084
-9.870;-0.902515
-9.869;-0.902945
-9.868;-0.903375
-9.867;-0.903803
-9.866;-0.904230
-9.865;-0.904657
-9.864;-0.905083
-9.863;-0.905508
-9.862;-0.905931
-9.861;-0.906354
-9.860;-0.906776
-9.859;-0.907198
-9.858;-0.907618
-9.857;-0.908037
-9.856;-0.908456
-9.855;-0.908873
-9.854;-0.909290
-9.853;-0.909705
-9.852;-0.910120
-9.851;-0.910534
-9.850;-0.910947
-9.849;-0.911359
-9.848;-0.911770
-9.847;-0.912181
-9.846;-0.912590
-9.845;-0.912998
-9.844;-0.913406
-9.843;-0.913812
-9.842;-0.914218
-9.841;-0.914623
-9.840;-0.915027
-9.839;-0.915430
-9.838;-0.915832
-9.837;-0.916233
-9.836;-0.916633
-9.835;-0.917032
-9.834;-0.917431
-9.833;-0.917828
-9.832;-0.918225
-9.831;-0.918620
-9.830;-0.919015
-9.829;-0.919409
-9.828;-0.919801
-9.827;-0.920193
-9.826;-0.920584
-9.825;-0.920975
-9.824;-0.921364
-9.823;-0.921752
-9.822;-0.922139
-9.821;-0.922526
-9.820;-0.922911
-9.819;-0.923296
-9.818;-0.923679
-9.817;-0.924062
-9.816;-0.924444
-9.815;-0.924825
-9.814;-0.925205
-9.813;-0.925584
-9.812;-0.925962
-9.811;-0.926339
-9.810;-0.926715
-9.809;-0.927090
-9.808;-0.927465
-9.807;-0.927838
-9.806;-0.928211
-9.805;-0.928582
-9.804;-0.928953
-9.803;-0.929323
-9.802;-0.929691
-9.801;-0.930059
-9.800;-0.930426
-9.799;-0.930792
-9.798;-0.931157
-9.797;-0.931522
-9.796;-0.931885
-9.795;-0.932247
-9.794;-0.932608
-9.793;-0.932969
-9.792;-0.933328
