x;value
-10.00;-1.542351
-9.98;-1.612088
-9.96;-1.686473
-9.94;-1.766052
-9.92;-1.851459
-9.90;-1.943435
-9.88;-2.042851
-9.86;-2.150738
-9.84;-2.268325
-9.82;-2.397090
-9.80;-2.538825
-9.78;-2.695725
-9.76;-2.870511
-9.74;-3.066590
-9.72;-3.288297
-9.70;-3.541223
-9.68;-3.832711
-9.66;-4.172604
-9.64;-4.574401
-9.62;-5.057132
-9.60;-5.648517
-9.58;-6.390560
-9.56;-7.350115
-9.54;-8.640453
-9.52;-10.470009
-9.50;-13.268890
-9.48;-18.090296
-9.46;-28.379558
-9.44;-65.689058
-9.42;209.291763
-9.40;40.350155
-9.38;22.317478
-9.36;15.415747
-9.34;11.767244
-9.32;9.509039
-9.30;7.972599
-9.28;6.858801
-9.26;6.013747
-9.24;5.350167
-9.22;4.814887
-9.20;4.373655
-9.18;4.003415
-9.16;3.688075
-9.14;3.416064
-9.12;3.178850
-9.10;2.969998
-9.08;2.784570
-9.06;2.618709
-9.04;2.469358
-9.02;2.334067
-9.00;2.210845
-8.98;2.098061
-8.96;1.994361
-8.94;1.898618
-8.92;1.809880
-8.90;1.727344
-8.88;1.650320
-8.86;1.578219
-8.84;1.510531
-8.82;1.446813
-8.80;1.386680
-8.78;1.329793
-8.76;1.275853
-8.74;1.224598
-8.72;1.175794
-8.70;1.129233
-8.68;1.084729
-8.66;1.042115
-8.64;1.001241
-8.62;0.961973
-8.60;0.924187
-8.58;0.887773
-8.56;0.852629
-8.54;0.818664
-8.52;0.785794
-8.50;0.753941
-8.48;0.723034
-8.46;0.693009
-8.44;0.663804
-8.42;0.635365
-8.40;0.607640
-8.38;0.580581
-8.36;0.554143
-8.34;0.528285
-8.32;0.502967
-8.30;0.478154
-8.28;0.453811
-8.26;0.429906
-8.24;0.406408
-8.22;0.383290
-8.20;0.360523
-8.18;0.338082
-8.16;0.315943
-8.14;0.294082
-8.12;0.272476
-8.10;0.251105
-8.08;0.229947
-8.06;0.208983
-8.04;0.188194
-8.02;0.167561
