x;value
-10.000;1.838164
-9.999;1.841004
-9.998;1.843855
-9.997;1.846717
-9.996;1.849590
-9.995;1.852473
-9.994;1.855367
-9.993;1.858272
-9.992;1.861188
-9.991;1.864115
-9.990;1.867053
-9.989;1.870003
-9.988;1.872963
-9.987;1.875935
-9.986;1.878918
-9.985;1.881913
-9.984;1.884919
-9.983;1.887936
-9.982;1.890965
-9.981;1.894006
-9.980;1.897058
-9.979;1.900122
-9.978;1.903198
-9.977;1.906286
-9.976;1.909386
-9.975;1.912497
-9.974;1.915621
-9.973;1.918757
-9.972;1.921906
-9.971;1.925066
-9.970;1.928239
-9.969;1.931424
-9.968;1.934622
-9.967;1.937832
-9.966;1.941055
-9.965;1.944291
-9.964;1.947539
-9.963;1.950800
-9.962;1.954074
-9.961;1.957361
-9.960;1.960661
-9.959;1.963974
-9.958;1.967301
-9.957;1.970640
-9.956;1.973993
-9.955;1.977360
-9.954;1.980739
-9.953;1.984133
-9.952;1.987540
-9.951;1.990961
-9.950;1.994395
-9.949;1.997844
-9.948;2.001306
-9.947;2.004782
-9.946;2.008273
-9.945;2.011778
-9.944;2.015297
-9.943;2.018830
-9.942;2.022378
-9.941;2.025940
-9.940;2.029517
-9.939;2.033109
-9.938;2.036715
-9.937;2.040336
-9.936;2.043972
-9.935;2.047624
-9.934;2.051290
-9.933;2.054971
-9.932;2.058668
-9.931;2.062381
-9.930;2.066108
-9.929;2.069852
-9.928;2.073610
-9.927;2.077385
-9.926;2.081176
-9.925;2.084982
-9.924;2.088805
-9.923;2.092644
-9.922;2.096498
-9.921;2.100370
-9.920;2.104257
-9.919;2.108162
-9.918;2.112083
-9.917;2.116020
-9.916;2.119975
-9.915;2.123946
-9.914;2.127934
-9.913;2.131940
-9.912;2.135963
-9.911;2.140003
-9.910;2.144060
-9.909;2.148136
-9.908;2.152228
-9.907;2.156339
-9.906;2.160468
-9.905;2.164614
-9.904;2.168779
-9.903;2.172962
-9.902;2.177163
-9.901;2.181383
-9.900;2.185621
-9.899;2.189878
-9.898;2.194154
-9.897;2.198448
-9.896;2.202762
-9.895;2.207095
-9.894;2.211447
-9.893;2.215819
-9.892;2.220210
-9.891;2.224621
-9.890;2.229052
-9.889;2.233502
-9.888;2.237973
-9.887;2.242464
-9.886;2.246975
-9.885;2.251507
-9.884;2.256059
-9.883;2.260632
-9.882;2.265225
-9.881;2.269840
-9.880;2.274476
-9.879;2.279133
-9.878;2.283811
-9.877;2.288511
-9.876;2.293233
-9.875;2.297977
-9.874;2.302742
-9.873;2.307530
-9.872;2.312339
-9.871;2.317172
-9.870;2.322027
-9.869;2.326904
-9.868;2.331805
-9.867;2.336728
-9.866;2.341675
-9.865;2.346645
-9.864;2.351638
-9.863;2.356655
-9.862;2.361696
-9.861;2.366761
-9.860;2.371850
-9.859;2.376964
-9.858;2.382102
-9.857;2.387264
-9.856;2.392452
-9.855;2.397664
-9.854;2.402902
-9.853;2.408164
-9.852;2.413453
-9.851;2.418767
-9.850;2.424107
-9.849;2.429473
-9.848;2.434865
-9.847;2.440284
-9.846;2.445729
-9.845;2.451202
-9.844;2.456701
-9.843;2.462227
-9.842;2.467781
-9.841;2.473362
-9.840;2.478971
-9.839;2.484609
-9.838;2.490274
-9.837;2.495968
-9.836;2.501690
-9.835;2.507441
-9.834;2.513221
-9.833;2.519031
-9.832;2.524870
-9.831;2.530738
-9.830;2.536636
-9.829;2.542565
-9.828;2.548524
-9.827;2.554513
-9.826;2.560533
-9.825;2.566585
-9.824;2.572667
-9.823;2.578781
-9.822;2.584927
-9.821;2.591104
-9.820;2.597314
-9.819;2.603556
-9.818;2.609831
-9.817;2.616139
-9.816;2.622480
-9.815;2.628855
-9.814;2.635263
-9.813;2.641705
-9.812;2.648182
-9.811;2.654693
-9.810;2.661238
-9.809;2.667819
-9.808;2.674435
-9.807;2.681087
-9.806;2.687774
-9.805;2.694498
-9.804;2.701258
-9.803;2.708055
-9.802;2.714889
-9.801;2.721760
-9.800;2.728668
-9.799;2.735615
-9.798;2.742600
-9.797;2.749623
-9.796;2.756685
-9.795;2.763787
-9.794;2.770927
-9.793;2.778108
-9.792;2.785329
-9.791;2.792590
-9.790;2.799891
-9.789;2.807234
-9.788;2.814619
-9.787;2.822045
-9.786;2.829513
-9.785;2.837024
-9.784;2.844578
-9.783;2.852174
-9.782;2.859815
-9.781;2.867499
-9.780;2.875228
-9.779;2.883001
-9.778;2.890819
