x;value
0.010;-4.605127
0.011;-4.509821
0.012;-4.422814
0.013;-4.342773
0.014;-4.268667
0.015;-4.199678
0.016;-4.135140
0.017;-4.074517
0.018;-4.017360
0.019;-3.963295
0.020;-3.912003
0.021;-3.863213
0.022;-3.816694
0.023;-3.772243
0.024;-3.729685
0.025;-3.688864
0.026;-3.649644
0.027;-3.611904
0.028;-3.575536
0.029;-3.540446
0.030;-3.506545
0.031;-3.473755
0.032;-3.442006
0.033;-3.411235
0.034;-3.381384
0.035;-3.352396
0.036;-3.324225
0.037;-3.296827
0.038;-3.270158
0.039;-3.244184
0.040;-3.218867
0.041;-3.194173
0.042;-3.170076
0.043;-3.146546
0.044;-3.123557
0.045;-3.101084
0.046;-3.079106
0.047;-3.057600
0.048;-3.036546
0.049;-3.015927
0.050;-2.995724
0.051;-2.975923
0.052;-2.956505
0.053;-2.937457
0.054;-2.918764
0.055;-2.900416
0.056;-2.882397
0.057;-2.864697
0.058;-2.847307
0.059;-2.830212
0.060;-2.813404
0.061;-2.796876
0.062;-2.780615
0.063;-2.764616
0.064;-2.748867
0.065;-2.733363
0.066;-2.718095
0.067;-2.703058
0.068;-2.688242
0.069;-2.673644
0.070;-2.659255
0.071;-2.645071
0.072;-2.631084
0.073;-2.617291
0.074;-2.603686
0.075;-2.590263
0.076;-2.577018
0.077;-2.563945
0.078;-2.551042
0.079;-2.538304
0.080;-2.525724
0.081;-2.513302
0.082;-2.501033
0.083;-2.488910
0.084;-2.476935
0.085;-2.465101
0.086;-2.453404
0.087;-2.441844
0.088;-2.430415
0.089;-2.419115
0.090;-2.407942
0.091;-2.396893
0.092;-2.385964
0.093;-2.375152
0.094;-2.364457
0.095;-2.353875
0.096;-2.343404
0.097;-2.333041
0.098;-2.322785
0.099;-2.312633
0.100;-2.302583
0.101;-2.292631
0.102;-2.282779
0.103;-2.273023
0.104;-2.263362
0.105;-2.253793
0.106;-2.244313
0.107;-2.234924
0.108;-2.225621
0.109;-2.216405
0.110;-2.207273
0.111;-2.198222
0.112;-2.189254
0.113;-2.180365
0.114;-2.171555
0.115;-2.162821
0.116;-2.154163
0.117;-2.145579
0.118;-2.137068
0.119;-2.128629
0.120;-2.120261
0.121;-2.111963
0.122;-2.103732
0.123;-2.095568
0.124;-2.087471
0.125;-2.079439
0.126;-2.071471
0.127;-2.063566
0.128;-2.055723
0.129;-2.047941
0.130;-2.040218
0.131;-2.032556
0.132;-2.024951
0.133;-2.017404
0.134;-2.009914
0.135;-2.002479
0.136;-1.995099
0.137;-1.987773
0.138;-1.980499
0.139;-1.973279
0.140;-1.966111
0.141;-1.958994
0.142;-1.951927
0.143;-1.944909
0.144;-1.937941
0.145;-1.931020
0.146;-1.924147
0.147;-1.917321
0.148;-1.910541
0.149;-1.903807
0.150;-1.897118
0.151;-1.890474
0.152;-1.883873
0.153;-1.877316
0.154;-1.870802
0.155;-1.864329
0.156;-1.857897
0.157;-1.851508
0.158;-1.845159
0.159;-1.838850
0.160;-1.832580
0.161;-1.826350
0.162;-1.820158
0.163;-1.814004
0.164;-1.807888
0.165;-1.801809
0.166;-1.795766
0.167;-1.789760
0.168;-1.783790
0.169;-1.777855
0.170;-1.771955
0.171;-1.766090
0.172;-1.760260
0.173;-1.754463
0.174;-1.748699
0.175;-1.742968
0.176;-1.737270
0.177;-1.731605
0.178;-1.725971
0.179;-1.720368
0.180;-1.714797
0.181;-1.709257
0.182;-1.703747
0.183;-1.698268
0.184;-1.692818
0.185;-1.687398
0.186;-1.682008
0.187;-1.676646
0.188;-1.671312
0.189;-1.666007
0.190;-1.660730
0.191;-1.655481
0.192;-1.650259
0.193;-1.645064
0.194;-1.639896
0.195;-1.634754
0.196;-1.629639
0.197;-1.624550
0.198;-1.619487
0.199;-1.614449
0.200;-1.609437
0.201;-1.604450
0.202;-1.599487
0.203;-1.594549
0.204;-1.589635
0.205;-1.584745
0.206;-1.579878
0.207;-1.575036
0.208;-1.570217
0.209;-1.565420
0.210;-1.560647
0.211;-1.555896
0.212;-1.551168
0.213;-1.546462
0.214;-1.541778
0.215;-1.537116
0.216;-1.532476
0.217;-1.527857
0.218;-1.523259
0.219;-1.518683
0.220;-1.514127
0.221;-1.509592
0.222;-1.505077
0.223;-1.500583
0.224;-1.496109
0.225;-1.491654
0.226;-1.487220
0.227;-1.482805
0.228;-1.478409
0.229;-1.474032
0.230;-1.469675
0.231;-1.465337
0.232;-1.461017
0.233;-1.456716
0.234;-1.452433
0.235;-1.448169
0.236;-1.443923
0.237;-1.439694
0.238;-1.435484
0.239;-1.431291
0.240;-1.427116
0.241;-1.422958
0.242;-1.418817
0.243;-1.414693
0.244;-1.410587
0.245;-1.406497
0.246;-1.402423
0.247;-1.398367
0.248;-1.394326
0.249;-1.390302
0.250;-1.386294
0.251;-1.382301
0.252;-1.378325
0.253;-1.374365
0.254;-1.370420
0.255;-1.366491
0.256;-1.362577
0.257;-1.358678
0.258;-1.354795
0.259;-1.350927
0.260;-1.347073
0.261;-1.343234
0.262;-1.339410
0.263;-1.335601
0.264;-1.331806
0.265;-1.328025
0.266;-1.324259
0.267;-1.320506
0.268;-1.316768
0.269;-1.313044
0.270;-1.309333
0.271;-1.305636
0.272;-1.301953
0.273;-1.298283
0.274;-1.294627
0.275;-1.290984
0.276;-1.287354
0.277;-1.283738
0.278;-1.280134
0.279;-1.276543
0.280;-1.272965
0.281;-1.269400
0.282;-1.265848
0.283;-1.262308
0.284;-1.258780
0.285;-1.255266
0.286;-1.251763
0.287;-1.248273
0.288;-1.244794
0.289;-1.241328
0.290;-1.237874
0.291;-1.234432
0.292;-1.231001
0.293;-1.227582
0.294;-1.224175
0.295;-1.220780
0.296;-1.217395
0.297;-1.214023
0.298;-1.210661
0.299;-1.207311
0.300;-1.203973
0.301;-1.200645
0.302;-1.197328
0.303;-1.194022
0.304;-1.190727
0.305;-1.187443
0.306;-1.184170
0.307;-1.180907
0.308;-1.177655
0.309;-1.174414
0.310;-1.171183
0.311;-1.167962
0.312;-1.164752
0.313;-1.161551
0.314;-1.158362
0.315;-1.155182
0.316;-1.152013
0.317;-1.148853
0.318;-1.145703
0.319;-1.142564
0.320;-1.139434
0.321;-1.136314
0.322;-1.133203
0.323;-1.130103
0.324;-1.127011
0.325;-1.123930
0.326;-1.120858
0.327;-1.117795
0.328;-1.114741
0.329;-1.111697
0.330;-1.108662
0.331;-1.105637
0.332;-1.102620
0.333;-1.099613
0.334;-1.096614
0.335;-1.093625
0.336;-1.090644
0.337;-1.087672
0.338;-1.084709
0.339;-1.081755
0.340;-1.078809
0.341;-1.075873
0.342;-1.072944
0.343;-1.070025
0.344;-1.067113
0.345;-1.064211
0.346;-1.061316
0.347;-1.058430
0.348;-1.055553
0.349;-1.052683
0.350;-1.049822
0.351;-1.046969
0.352;-1.044124
0.353;-1.041287
0.354;-1.038458
0.355;-1.035637
0.356;-1.032824
0.357;-1.030019
0.358;-1.027222
0.359;-1.024432
0.360;-1.021651
0.361;-1.018877
0.362;-1.016111
0.363;-1.013352
0.364;-1.010601
0.365;-1.007858
0.366;-1.005122
0.367;-1.002393
0.368;-0.999672
0.369;-0.996958
0.370;-0.994252
0.371;-0.991553
0.372;-0.988861
0.373;-0.986177
0.374;-0.983499
0.375;-0.980829
0.376;-0.978166
0.377;-0.975510
0.378;-0.972861
0.379;-0.970219
0.380;-0.967584
0.381;-0.964956
0.382;-0.962335
0.383;-0.959720
0.384;-0.957113
0.385;-0.954512
0.386;-0.951918
0.387;-0.949330
0.388;-0.946750
0.389;-0.944176
0.390;-0.941608
0.391;-0.939048
0.392;-0.936493
0.393;-0.933946
0.394;-0.931404
0.395;-0.928869
0.396;-0.926341
0.397;-0.923819
0.398;-0.921303
0.399;-0.918794
0.400;-0.916291
0.401;-0.913794
0.402;-0.911303
0.403;-0.908819
0.404;-0.906340
0.405;-0.903868
0.406;-0.901402
0.407;-0.898942
0.408;-0.896488
0.409;-0.894040
0.410;-0.891598
0.411;-0.889162
0.412;-0.886732
0.413;-0.884307
0.414;-0.881889
0.415;-0.879476
0.416;-0.877070
0.417;-0.874669
0.418;-0.872274
0.419;-0.869884
0.420;-0.867500
0.421;-0.865122
0.422;-0.862750
0.423;-0.860383
0.424;-0.858022
0.425;-0.855666
0.426;-0.853316
0.427;-0.850971
0.428;-0.848632
0.429;-0.846298
0.430;-0.843970
0.431;-0.841647
0.432;-0.839330
0.433;-0.837017
0.434;-0.834711
0.435;-0.832409
0.436;-0.830113
0.437;-0.827822
0.438;-0.825536
0.439;-0.823256
0.440;-0.820980
0.441;-0.818710
0.442;-0.816445
0.443;-0.814185
0.444;-0.811931
0.445;-0.809681
0.446;-0.807436
0.447;-0.805197
0.448;-0.802962
0.449;-0.800732
0.450;-0.798508
0.451;-0.796288
0.452;-0.794073
0.453;-0.791863
0.454;-0.789658
0.455;-0.787458
0.456;-0.785262
0.457;-0.783072
0.458;-0.780886
0.459;-0.778705
0.460;-0.776529
0.461;-0.774357
0.462;-0.772190
0.463;-0.770028
0.464;-0.767871
0.465;-0.765718
0.466;-0.763570
0.467;-0.761426
0.468;-0.759287
0.469;-0.757152
0.470;-0.755023
0.471;-0.752897
0.472;-0.750776
0.473;-0.748660
0.474;-0.746548
0.475;-0.744440
0.476;-0.742337
0.477;-0.740239
0.478;-0.738144
0.479;-0.736054
0.480;-0.733969
0.481;-0.731888
0.482;-0.729811
0.483;-0.727738
0.484;-0.725670
0.485;-0.723606
0.486;-0.721546
0.487;-0.719491
0.488;-0.717440
0.489;-0.715393
0.490;-0.713350
0.491;-0.711311
0.492;-0.709276
0.493;-0.707246
0.494;-0.705220
0.495;-0.703197
0.496;-0.701179
0.497;-0.699165
0.498;-0.697155
0.499;-0.695149
0.500;-0.693147
0.501;-0.691149
0.502;-0.689155
0.503;-0.687165
0.504;-0.685179
0.505;-0.683197
0.506;-0.681219
0.507;-0.679244
0.508;-0.677274
0.509;-0.675307
0.510;-0.673344
0.511;-0.671386
0.512;-0.669431
0.513;-0.667479
0.514;-0.665532
0.515;-0.663588
0.516;-0.661648
0.517;-0.659712
0.518;-0.657780
0.519;-0.655851
0.520;-0.653926
0.521;-0.652005
0.522;-0.650088
0.523;-0.648174
0.524;-0.646264
0.525;-0.644357
0.526;-0.642454
0.527;-0.640555
0.528;-0.638659
0.529;-0.636767
0.530;-0.634878
0.531;-0.632993
0.532;-0.631112
0.533;-0.629234
0.534;-0.627359
0.535;-0.625489
0.536;-0.623621
0.537;-0.621757
0.538;-0.619897
0.539;-0.618040
0.540;-0.616186
0.541;-0.614336
0.542;-0.612489
0.543;-0.610646
0.544;-0.608806
0.545;-0.606969
0.546;-0.605136
0.547;-0.603306
0.548;-0.601480
0.549;-0.599657
0.550;-0.597837
0.551;-0.596020
0.552;-0.594207
0.553;-0.592397
0.554;-0.590591
0.555;-0.588787
0.556;-0.586987
0.557;-0.585190
0.558;-0.583396
0.559;-0.581606
0.560;-0.579818
0.561;-0.578034
0.562;-0.576253
0.563;-0.574476
0.564;-0.572701
0.565;-0.570930
0.566;-0.569161
0.567;-0.567396
0.568;-0.565634
0.569;-0.563875
0.570;-0.562119
0.571;-0.560366
0.572;-0.558616
0.573;-0.556869
0.574;-0.555126
0.575;-0.553385
0.576;-0.551648
0.577;-0.549913
0.578;-0.548181
0.579;-0.546453
0.580;-0.544727
0.581;-0.543004
0.582;-0.541285
0.583;-0.539568
0.584;-0.537854
0.585;-0.536143
0.586;-0.534435
0.587;-0.532730
0.588;-0.531028
0.589;-0.529329
0.590;-0.527633
0.591;-0.525939
