x;value
0.01;-2.861328
0.03;-2.178740
0.05;-1.861349
0.07;-1.652289
0.09;-1.496139
0.11;-1.371457
0.13;-1.267659
0.15;-1.178746
0.17;-1.100978
0.19;-1.031870
0.21;-0.969685
0.23;-0.913161
0.25;-0.861353
0.27;-0.813535
0.29;-0.769135
0.31;-0.727697
0.33;-0.688851
0.35;-0.652291
0.37;-0.617764
0.39;-0.585054
0.41;-0.553981
0.43;-0.524388
0.45;-0.496141
0.47;-0.469122
0.49;-0.443230
0.51;-0.418372
0.53;-0.394472
0.55;-0.371457
0.57;-0.349264
0.59;-0.327837
0.61;-0.307124
0.63;-0.287079
0.65;-0.267661
0.67;-0.248831
0.69;-0.230555
0.71;-0.212801
0.73;-0.195541
0.75;-0.178747
0.77;-0.162395
0.79;-0.146462
0.81;-0.130928
0.83;-0.115773
0.85;-0.100979
0.87;-0.086528
0.89;-0.072407
0.91;-0.058599
0.93;-0.045091
0.95;-0.031870
0.97;-0.018925
0.99;-0.006244
1.01;0.006182
1.03;0.018366
1.05;0.030315
1.07;0.042039
1.09;0.053545
1.11;0.064843
1.13;0.075938
1.15;0.086839
1.17;0.097552
1.19;0.108083
1.21;0.118439
1.23;0.128625
1.25;0.138647
1.27;0.148510
1.29;0.158218
1.31;0.167777
1.33;0.177192
1.35;0.186466
1.37;0.195603
1.39;0.204608
1.41;0.213485
1.43;0.222235
1.45;0.230866
1.47;0.239377
1.49;0.247774
1.51;0.256058
1.53;0.264234
1.55;0.272303
1.57;0.280269
1.59;0.288134
1.61;0.295901
1.63;0.303572
1.65;0.311149
1.67;0.318636
1.69;0.326032
1.71;0.333342
1.73;0.340567
1.75;0.347709
1.77;0.354770
1.79;0.361751
1.81;0.368655
1.83;0.375483
1.85;0.382237
1.87;0.388917
1.89;0.395528
1.91;0.402068
1.93;0.408540
1.95;0.414946
1.97;0.421286
1.99;0.427563
2.01;0.433776
2.03;0.439928
2.05;0.446019
2.07;0.452051
2.09;0.458026
2.11;0.463944
2.13;0.469805
2.15;0.475612
2.17;0.481365
2.19;0.487065
2.21;0.492714
2.23;0.498312
2.25;0.503859
2.27;0.509358
2.29;0.514809
2.31;0.520211
2.33;0.525568
2.35;0.530878
2.37;0.536144
2.39;0.541365
2.41;0.546543
2.43;0.551678
2.45;0.556771
2.47;0.561823
2.49;0.566834
2.51;0.571804
2.53;0.576735
2.55;0.581628
2.57;0.586482
2.59;0.591299
2.61;0.596078
2.63;0.600821
2.65;0.605528
2.67;0.610200
2.69;0.614837
2.71;0.619439
2.73;0.624008
2.75;0.628543
2.77;0.633046
2.79;0.637515
2.81;0.641954
2.83;0.646361
2.85;0.650736
2.87;0.655081
2.89;0.659396
2.91;0.663681
2.93;0.667937
2.95;0.672164
2.97;0.676362
2.99;0.680532
3.01;0.684674
3.03;0.688789
3.05;0.692876
3.07;0.696938
3.09;0.700972
3.11;0.704981
3.13;0.708964
3.15;0.712921
3.17;0.716854
3.19;0.720761
3.21;0.724645
3.23;0.728504
3.25;0.732340
3.27;0.736152
3.29;0.739940
3.31;0.743706
3.33;0.747449
3.35;0.751170
3.37;0.754868
3.39;0.758545
3.41;0.762199
3.43;0.765833
3.45;0.769445
3.47;0.773037
3.49;0.776608
3.51;0.780158
3.53;0.783688
3.55;0.787199
3.57;0.790690
3.59;0.794160
3.61;0.797613
3.63;0.801045
3.65;0.804460
3.67;0.807855
3.69;0.811232
3.71;0.814590
3.73;0.817931
3.75;0.821253
3.77;0.824559
3.79;0.827846
3.81;0.831116
3.83;0.834369
3.85;0.837605
3.87;0.840824
3.89;0.844027
3.91;0.847214
3.93;0.850384
3.95;0.853538
3.97;0.856675
3.99;0.859798
4.01;0.862905
4.03;0.865996
4.05;0.869072
4.07;0.872133
4.09;0.875179
4.11;0.878210
4.13;0.881226
4.15;0.884227
4.17;0.887214
4.19;0.890187
4.21;0.893146
4.23;0.896090
4.25;0.899021
4.27;0.901938
4.29;0.904842
4.31;0.907732
4.33;0.910608
4.35;0.913472
4.37;0.916322
4.39;0.919159
4.41;0.921983
4.43;0.924795
4.45;0.927594
4.47;0.930380
4.49;0.933154
4.51;0.935915
4.53;0.938664
4.55;0.941402
4.57;0.944126
4.59;0.946840
4.61;0.949541
4.63;0.952231
4.65;0.954909
4.67;0.957576
4.69;0.960231
4.71;0.962875
4.73;0.965508
4.75;0.968129
4.77;0.970740
4.79;0.973340
4.81;0.975929
4.83;0.978507
4.85;0.981075
4.87;0.983632
4.89;0.986178
4.91;0.988714
4.93;0.991240
4.95;0.993756
4.97;0.996261
4.99;0.998756
5.01;1.001241
5.03;1.003717
5.05;1.006182
5.07;1.008638
5.09;1.011085
5.11;1.013521
5.13;1.015948
5.15;1.018365
5.17;1.020774
5.19;1.023173
5.21;1.025563
5.23;1.027944
5.25;1.030315
5.27;1.032678
5.29;1.035031
5.31;1.037376
5.33;1.039711
5.35;1.042039
5.37;1.044357
5.39;1.046667
5.41;1.048968
5.43;1.051261
5.45;1.053545
5.47;1.055821
5.49;1.058089
5.51;1.060348
5.53;1.062599
5.55;1.064842
5.57;1.067077
5.59;1.069304
5.61;1.071523
5.63;1.073735
5.65;1.075938
5.67;1.078134
5.69;1.080321
5.71;1.082502
5.73;1.084674
5.75;1.086839
5.77;1.088996
5.79;1.091146
5.81;1.093289
5.83;1.095424
5.85;1.097552
5.87;1.099672
5.89;1.101786
5.91;1.103892
5.93;1.105991
5.95;1.108083
5.97;1.110168
5.99;1.112246
6.01;1.114317
6.03;1.116382
6.05;1.118439
6.07;1.120490
6.09;1.122534
6.11;1.124571
6.13;1.126601
6.15;1.128625
6.17;1.130643
6.19;1.132653
6.21;1.134658
6.23;1.136655
6.25;1.138647
6.27;1.140632
6.29;1.142611
6.31;1.144583
6.33;1.146549
6.35;1.148509
6.37;1.150463
6.39;1.152410
6.41;1.154352
6.43;1.156288
6.45;1.158218
6.47;1.160142
6.49;1.162059
6.51;1.163971
6.53;1.165877
6.55;1.167777
6.57;1.169672
6.59;1.171560
6.61;1.173443
6.63;1.175320
6.65;1.177191
6.67;1.179057
6.69;1.180917
6.71;1.182772
6.73;1.184621
6.75;1.186465
6.77;1.188303
6.79;1.190136
6.81;1.191963
6.83;1.193786
6.85;1.195602
6.87;1.197414
6.89;1.199221
6.91;1.201021
6.93;1.202817
6.95;1.204608
6.97;1.206393
6.99;1.208173
7.01;1.209949
7.03;1.211719
7.05;1.213484
7.07;1.215244
7.09;1.216999
7.11;1.218749
7.13;1.220494
7.15;1.222235
7.17;1.223971
7.19;1.225701
7.21;1.227427
7.23;1.229148
7.25;1.230865
7.27;1.232576
7.29;1.234283
7.31;1.235986
7.33;1.237684
7.35;1.239377
7.37;1.241065
7.39;1.242749
7.41;1.244428
7.43;1.246103
7.45;1.247773
7.47;1.249439
7.49;1.251100
7.51;1.252757
7.53;1.254409
7.55;1.256058
7.57;1.257701
7.59;1.259340
7.61;1.260976
7.63;1.262607
7.65;1.264233
7.67;1.265855
7.69;1.267473
7.71;1.269087
7.73;1.270697
7.75;1.272303
7.77;1.273904
7.79;1.275501
7.81;1.277094
7.83;1.278684
7.85;1.280269
7.87;1.281849
7.89;1.283426
7.91;1.285000
7.93;1.286569
7.95;1.288134
7.97;1.289694
7.99;1.291252
8.01;1.292805
8.03;1.294354
8.05;1.295900
8.07;1.297442
8.09;1.298980
8.11;1.300514
8.13;1.302044
8.15;1.303571
8.17;1.305094
8.19;1.306613
8.21;1.308129
8.23;1.309641
8.25;1.311149
8.27;1.312653
8.29;1.314154
8.31;1.315651
8.33;1.317144
8.35;1.318634
8.37;1.320121
8.39;1.321604
8.41;1.323083
8.43;1.324559
8.45;1.326031
8.47;1.327500
8.49;1.328965
8.51;1.330427
8.53;1.331886
8.55;1.333341
8.57;1.334793
8.59;1.336241
8.61;1.337686
8.63;1.339129
8.65;1.340566
8.67;1.342002
8.69;1.343433
8.71;1.344862
8.73;1.346286
8.75;1.347708
8.77;1.349127
8.79;1.350542
8.81;1.351954
8.83;1.353363
8.85;1.354769
8.87;1.356171
8.89;1.357570
8.91;1.358967
8.93;1.360360
8.95;1.361750
8.97;1.363137
8.99;1.364521
9.01;1.365901
9.03;1.367279
9.05;1.368654
9.07;1.370026
9.09;1.371394
9.11;1.372760
9.13;1.374122
9.15;1.375482
9.17;1.376839
9.19;1.378192
9.21;1.379543
9.23;1.380891
9.25;1.382236
9.27;1.383578
9.29;1.384917
9.31;1.386252
9.33;1.387586
9.35;1.388916
9.37;1.390244
9.39;1.391569
9.41;1.392891
9.43;1.394210
9.45;1.395526
9.47;1.396841
9.49;1.398151
9.51;1.399460
9.53;1.400764
9.55;1.402067
9.57;1.403367
9.59;1.404664
9.61;1.405959
9.63;1.407250
9.65;1.408539
9.67;1.409826
9.69;1.411110
9.71;1.412390
9.73;1.413669
9.75;1.414944
9.77;1.416218
9.79;1.417488
9.81;1.418756
9.83;1.420022
9.85;1.421285
9.87;1.422545
9.89;1.423803
9.91;1.425059
9.93;1.426311
9.95;1.427561
9.97;1.428809
9.99;1.430054
