x;value
-10.000;0.544021
-9.999;0.543182
-9.998;0.542342
-9.997;0.541501
-9.996;0.540660
-9.995;0.539819
-9.994;0.538977
-9.993;0.538134
-9.992;0.537291
-9.991;0.536448
-9.990;0.535603
-9.989;0.534759
-9.988;0.533913
-9.987;0.533068
-9.986;0.532221
-9.985;0.531374
-9.984;0.530527
-9.983;0.529679
-9.982;0.528831
-9.981;0.527982
-9.980;0.527132
-9.979;0.526282
-9.978;0.525431
-9.977;0.524580
-9.976;0.523729
-9.975;0.522877
-9.974;0.522024
-9.973;0.521171
-9.972;0.520317
-9.971;0.519463
-9.970;0.518608
-9.969;0.517753
-9.968;0.516897
-9.967;0.516041
-9.966;0.515184
-9.965;0.514326
-9.964;0.513469
-9.963;0.512610
-9.962;0.511751
-9.961;0.510892
-9.960;0.510032
-9.959;0.509172
-9.958;0.508311
-9.957;0.507449
-9.956;0.506587
-9.955;0.505725
-9.954;0.504862
-9.953;0.503999
-9.952;0.503135
-9.951;0.502270
-9.950;0.501405
-9.949;0.500540
-9.948;0.499674
-9.947;0.498807
-9.946;0.497940
-9.945;0.497073
-9.944;0.496205
-9.943;0.495336
-9.942;0.494467
-9.941;0.493598
-9.940;0.492728
-9.939;0.491858
-9.938;0.490987
-9.937;0.490115
-9.936;0.489243
-9.935;0.488371
-9.934;0.487498
-9.933;0.486625
-9.932;0.485751
-9.931;0.484877
-9.930;0.484002
-9.929;0.483126
-9.928;0.482251
-9.927;0.481374
-9.926;0.480498
-9.925;0.479620
-9.924;0.478743
-9.923;0.477864
-9.922;0.476986
-9.921;0.476107
-9.920;0.475227
-9.919;0.474347
-9.918;0.473466
-9.917;0.472585
-9.916;0.471704
-9.915;0.470822
-9.914;0.469939
-9.913;0.469056
-9.912;0.468173
-9.911;0.467289
-9.910;0.466405
-9.909;0.465520
-9.908;0.464635
-9.907;0.463749
-9.906;0.462863
-9.905;0.461976
-9.904;0.461089
-9.903;0.460201
-9.902;0.459313
-9.901;0.458425
-9.900;0.457536
-9.899;0.456646
-9.898;0.455757
-9.897;0.454866
-9.896;0.453975
-9.895;0.453084
-9.894;0.452193
-9.893;0.451300
-9.892;0.450408
-9.891;0.449515
-9.890;0.448621
-9.889;0.447727
-9.888;0.446833
-9.887;0.445938
-9.886;0.445043
-9.885;0.444147
-9.884;0.443251
-9.883;0.442354
-9.882;0.441457
-9.881;0.440560
-9.880;0.439662
-9.879;0.438763
-9.878;0.437865
-9.877;0.436965
-9.876;0.436066
-9.875;0.435165
-9.874;0.434265
-9.873;0.433364
-9.872;0.432462
-9.871;0.431561
-9.870;0.430658
-9.869;0.429756
-9.868;0.428852
-9.867;0.427949
-9.866;0.427045
-9.865;0.426140
-9.864;0.425235
-9.863;0.424330
-9.862;0.423424
-9.861;0.422518
-9.860;0.421612
-9.859;0.420705
-9.858;0.419797
-9.857;0.418890
-9.856;0.417981
-9.855;0.417073
-9.854;0.416164
-9.853;0.415254
-9.852;0.414344
-9.851;0.413434
-9.850;0.412523
-9.849;0.411612
-9.848;0.410700
-9.847;0.409788
-9.846;0.408876
-9.845;0.407963
-9.844;0.407050
-9.843;0.406136
-9.842;0.405222
-9.841;0.404308
-9.840;0.403393
-9.839;0.402478
-9.838;0.401562
-9.837;0.400646
-9.836;0.399730
-9.835;0.398813
-9.834;0.397896
-9.833;0.396978
-9.832;0.396060
-9.831;0.395142
-9.830;0.394223
-9.829;0.393304
-9.828;0.392384
-9.827;0.391464
-9.826;0.390544
-9.825;0.389623
-9.824;0.388702
-9.823;0.387780
-9.822;0.386858
-9.821;0.385936
-9.820;0.385013
-9.819;0.384090
-9.818;0.383167
-9.817;0.382243
-9.816;0.381318
-9.815;0.380394
-9.814;0.379469
-9.813;0.378543
-9.812;0.377618
-9.811;0.376691
-9.810;0.375765
-9.809;0.374838
-9.808;0.373911
-9.807;0.372983
-9.806;0.372055
-9.805;0.371127
-9.804;0.370198
-9.803;0.369269
-9.802;0.368339
-9.801;0.367409
-9.800;0.366479
-9.799;0.365549
-9.798;0.364618
-9.797;0.363686
-9.796;0.362755
-9.795;0.361822
-9.794;0.360890
-9.793;0.359957
-9.792;0.359024
-9.791;0.358091
-9.790;0.357157
-9.789;0.356222
-9.788;0.355288
-9.787;0.354353
-9.786;0.353418
-9.785;0.352482
-9.784;0.351546
-9.783;0.350610
-9.782;0.349673
-9.781;0.348736
-9.780;0.347799
-9.779;0.346861
-9.778;0.345923
-9.777;0.344984
-9.776;0.344046
-9.775;0.343106
-9.774;0.342167
-9.773;0.341227
-9.772;0.340287
-9.771;0.339346
-9.770;0.338406
-9.769;0.337464
-9.768;0.336523
-9.767;0.335581
-9.766;0.334639
-9.765;0.333696
-9.764;0.332754
-9.763;0.331810
-9.762;0.330867
-9.761;0.329923
-9.760;0.328979
-9.759;0.328034
-9.758;0.327090
-9.757;0.326144
-9.756;0.325199
-9.755;0.324253
-9.754;0.323307
-9.753;0.322360
-9.752;0.321414
-9.751;0.320467
-9.750;0.319519
-9.749;0.318571
-9.748;0.317623
-9.747;0.316675
-9.746;0.315726
-9.745;0.314777
-9.744;0.313828
-9.743;0.312878
-9.742;0.311928
-9.741;0.310978
-9.740;0.310028
-9.739;0.309077
-9.738;0.308126
-9.737;0.307174
-9.736;0.306222
-9.735;0.305270
-9.734;0.304318
-9.733;0.303365
-9.732;0.302412
-9.731;0.301459
-9.730;0.300505
-9.729;0.299551
-9.728;0.298597
-9.727;0.297642
-9.726;0.296687
-9.725;0.295732
-9.724;0.294777
-9.723;0.293821
-9.722;0.292865
-9.721;0.291909
-9.720;0.290952
-9.719;0.289995
-9.718;0.289038
-9.717;0.288081
-9.716;0.287123
-9.715;0.286165
-9.714;0.285207
-9.713;0.284248
-9.712;0.283289
-9.711;0.282330
-9.710;0.281371
-9.709;0.280411
-9.708;0.279451
-9.707;0.278490
-9.706;0.277530
-9.705;0.276569
-9.704;0.275608
-9.703;0.274646
-9.702;0.273685
-9.701;0.272723
-9.700;0.271761
-9.699;0.270798
-9.698;0.269835
-9.697;0.268872
-9.696;0.267909
-9.695;0.266945
-9.694;0.265982
-9.693;0.265017
-9.692;0.264053
-9.691;0.263088
-9.690;0.262124
-9.689;0.261158
-9.688;0.260193
-9.687;0.259227
-9.686;0.258261
-9.685;0.257295
-9.684;0.256329
-9.683;0.255362
-9.682;0.254395
-9.681;0.253428
-9.680;0.252460
-9.679;0.251493
-9.678;0.250525
-9.677;0.249556
-9.676;0.248588
-9.675;0.247619
-9.674;0.246650
-9.673;0.245681
-9.672;0.244711
-9.671;0.243742
-9.670;0.242772
-9.669;0.241802
-9.668;0.240831
-9.667;0.239860
-9.666;0.238889
-9.665;0.237918
-9.664;0.236947
-9.663;0.235975
-9.662;0.235003
-9.661;0.234031
-9.660;0.233059
-9.659;0.232086
-9.658;0.231114
-9.657;0.230140
-9.656;0.229167
-9.655;0.228194
-9.654;0.227220
-9.653;0.226246
-9.652;0.225272
-9.651;0.224297
-9.650;0.223323
-9.649;0.222348
-9.648;0.221373
