x;value
-10.00;90.139248
-9.98;96.674003
-9.96;104.670436
-9.94;114.469019
-9.92;126.518931
-9.90;141.419054
-9.88;159.977502
-9.86;183.299525
-9.84;212.919575
-9.82;251.003642
-9.80;300.665877
-9.78;366.475736
-9.76;455.291522
-9.74;577.670088
-9.72;750.328302
-9.70;1000.597905
-9.68;1374.822245
-9.66;1954.934382
-9.64;2892.988462
-9.62;4487.730161
-9.60;7367.454755
-9.58;12967.566732
-9.56;24923.359279
-9.54;53743.117745
-9.52;135672.809223
-9.50;431260.787656
-9.48;1987795.882171
-9.46;18602957.181103
-9.44;1225515359.023956
-9.42;-401647435011.804044
-9.40;-107521989.314427
-9.38;-5631802.594375
-9.36;-902293.882325
-9.34;-239842.585916
-9.32;-85337.885449
-9.30;-36743.753474
-9.28;-18109.134894
-9.26;-9874.670870
-9.24;-5825.811560
-9.22;-3661.573506
-9.20;-2424.298845
-9.18;-1676.749770
-9.16;-1203.688855
-9.14;-892.328195
-9.12;-680.361586
-9.10;-531.778254
-9.08;-424.933825
-9.06;-346.365228
-9.04;-287.441086
-9.02;-242.476900
-9.00;-207.637903
-8.98;-180.280666
-8.96;-158.547190
-8.94;-141.108365
-8.92;-126.998188
-8.90;-115.504423
-8.88;-106.095144
-8.86;-98.368530
-8.84;-92.018023
-8.82;-86.807763
-8.80;-82.555151
-8.78;-79.118191
-8.76;-76.386317
-8.74;-74.273655
-8.72;-72.714050
-8.70;-71.657403
-8.68;-71.066981
-8.66;-70.917469
-8.64;-71.193614
-8.62;-71.889346
-8.60;-73.007310
-8.58;-74.558760
-8.56;-76.563814
-8.54;-79.052068
-8.52;-82.063618
-8.50;-85.650533
-8.48;-89.878898
-8.46;-94.831553
-8.44;-100.611728
-8.42;-107.347858
-8.40;-115.200010
-8.38;-124.368377
-8.36;-135.104782
-8.34;-147.728257
-8.32;-162.646436
-8.30;-180.385310
-8.28;-201.631169
-8.26;-227.290688
-8.24;-258.578467
-8.22;-297.146922
-8.20;-345.283393
-8.18;-406.215774
-8.16;-484.599279
-8.14;-587.314354
-8.12;-724.818314
-8.10;-913.522248
-8.08;-1180.154639
-8.06;-1570.183022
-8.04;-2165.053275
-8.02;-3120.053068
-8.00;-4754.924811
-7.98;-7795.238564
-7.96;-14110.513555
-7.94;-29431.889344
-7.92;-76409.725193
-7.90;-290473.245984
-7.88;-2541052.812672
-7.86;-790079485.959336
-7.84;-24034169.768762
-7.82;-607330.051876
-7.80;-83649.479924
-7.78;-20678.860622
-7.76;-6882.747321
-7.74;-2739.242440
-7.72;-1226.638464
-7.70;-596.464313
-7.68;-307.866359
-7.66;-166.071895
-7.64;-92.579622
-7.62;-52.888551
-7.60;-30.762050
-7.58;-18.126176
-7.56;-10.781400
-7.54;-6.461113
-7.52;-3.904070
-7.50;-2.390650
-7.48;-1.501831
-7.46;-0.989689
-7.44;-0.705769
-7.42;-0.560483
-7.40;-0.499583
-7.38;-0.490287
-7.36;-0.512949
-7.34;-0.556012
-7.32;-0.612905
-7.30;-0.680117
-7.28;-0.756017
-7.26;-0.840105
-7.24;-0.932562
-7.22;-1.033974
-7.20;-1.145178
-7.18;-1.267179
-7.16;-1.401133
-7.14;-1.548355
-7.12;-1.710380
-7.10;-1.889042
-7.08;-2.086594
-7.06;-2.305878
-7.04;-2.550542
-7.02;-2.825337
-7.00;-3.136511
-6.98;-3.492344
-6.96;-3.903862
-6.94;-4.385827
-6.92;-4.958083
-6.90;-5.647423
-6.88;-6.490201
-6.86;-7.535999
-6.84;-8.852847
-6.82;-10.534701
-6.80;-12.712307
-6.78;-15.569124
-6.76;-19.364998
-6.74;-24.471822
-6.72;-31.428060
-6.70;-41.023506
-6.68;-54.433392
-6.66;-73.434843
-6.64;-100.763880
-6.62;-140.718736
-6.60;-200.207133
-6.58;-290.620120
-6.56;-431.301064
-6.54;-656.221571
-6.52;-1027.412846
-6.50;-1663.415415
-6.48;-2803.284950
-6.46;-4961.285855
-6.44;-9334.583337
-6.42;-18998.999601
-6.40;-42926.375437
-6.38;-112128.427579
-6.36;-362875.155970
-6.34;-1661649.177930
-6.32;-14685055.197482
-6.30;-742887417.035810
-6.28;3049443685239.601564
-6.26;148841565.795539
-6.24;6593280.006623
-6.22;972427.034831
-6.20;242105.596125
-6.18;80830.532397
-6.16;32539.091444
-6.14;14905.056795
-6.12;7501.014141
-6.10;4053.482763
-6.08;2315.358096
-6.06;1382.225644
-6.04;855.199355
-6.02;544.889266
-6.00;355.748397
-5.98;237.063591
-5.96;160.734404
-5.94;110.605149
-5.92;77.086352
-5.90;54.325538
-5.88;38.662793
-5.86;27.759670
-5.84;20.093427
-5.82;14.655676
-5.80;10.768616
-5.78;7.970600
-5.76;5.943506
-5.74;4.465859
-5.72;3.382078
-5.70;2.582027
-5.68;1.987231
-5.66;1.541469
-5.64;1.204299
-5.62;0.946534
-5.60;0.747075
-5.58;0.590655
-5.56;0.466231
-5.54;0.365826
-5.52;0.283690
-5.50;0.215686
-5.48;0.158839
-5.46;0.111008
-5.44;0.070636
-5.42;0.036571
-5.40;0.007932
-5.38;-0.015985
-5.36;-0.035773
-5.34;-0.051938
-5.32;-0.064902
-5.30;-0.074950
-5.28;-0.082130
-5.26;-0.086053
-5.24;-0.085566
-5.22;-0.078219
-5.20;-0.059399
-5.18;-0.020936
-5.16;0.051126
-5.14;0.180160
-5.12;0.404871
-5.10;0.789077
-5.08;1.438102
-5.06;2.526707
-5.04;4.347623
-5.02;7.397797
-5.00;12.535715
-4.98;21.277142
-4.96;36.370853
-4.94;62.966056
-4.92;111.095673
-4.90;201.267749
-4.88;377.946697
-4.86;744.897103
-4.84;1568.092308
-4.82;3618.755102
-4.80;9545.025596
-4.78;30985.667593
-4.76;144217.926808
-4.74;1451192.845987
-4.72;284608581.326287
-4.70;45683293.311856
-4.68;1097113.221067
-4.66;179067.204402
-4.64;54668.845015
-4.62;22847.427709
-4.60;11530.655778
-4.58;6598.068554
-4.56;4128.813776
-4.54;2762.152866
-4.52;1945.933448
-4.50;1428.508537
-4.48;1084.396696
-4.46;846.372157
-4.44;676.243919
-4.42;551.229838
-4.40;457.166636
-4.38;384.932159
-4.36;328.468300
-4.34;283.642626
-4.32;247.568965
-4.30;218.189011
-4.28;194.007156
-4.26;173.918412
-4.24;157.094059
-4.22;142.904158
-4.20;130.864052
-4.18;120.596830
-4.16;111.806577
-4.14;104.259057
-4.12;97.767583
-4.10;92.182583
-4.08;87.383810
-4.06;83.274494
-4.04;79.776931
-4.02;76.829145
-4.00;74.382384
-3.98;72.399260
-3.96;70.852417
-3.94;69.723628
-3.92;69.003283
-3.90;68.690227
-3.88;68.791952
-3.86;69.325164
